#TYPE Selected.System.Management.Automation.PSCustomObject
"Id","Firstname","Lastname","Email","Password"
"3","Roger","Lewis","Roger.Lewis@spr.demo.com","==>fIE8q"
"6","Patrick","Perez","Patrick.Perez@spr.demo.com","(_UZiPXA"
"8","Kimberly","Wood","Kimberly.Wood@spr.demo.com","!hM__g^6"
"9","Katherine","Green","Katherine.Green@spr.demo.com","4ezls^j@"
"1","Jessica","Cox","Jessica.Cox@spr.demo.com","#(1ARS55"
"7","Jack","Reed","Jack.Reed@spr.demo.com",")u4:LWD!"
"4","Debra","Griffin","Debra.Griffin@spr.demo.com","**}v1)2c"
"2","David","Bell","David.Bell@spr.demo.com","(r7m38}2"
"10","Carol","Washington","Carol.Washington@spr.demo.com",">Ll4i+aQ"
"5","Ann","Martinez","Ann.Martinez@spr.demo.com","|_MwAK5L"
